Id,SalePrice
1461,179565.6
1462,177358.61
1463,182412.11
1464,183101.17
1465,178228.64
1466,182004.64
1467,179620.42
1468,182170.89
1469,180940.28
1470,180464.92
1471,178697.31
1472,178917.17
1473,179967.03
1474,177595.8
1475,177083.77
1476,182016.92
1477,181667.97
1478,181271.58
1479,181127.66
1480,184072.02
1481,182427.19
1482,181767.52
1483,181545.05
1484,179412.86
1485,182194.72
1486,182060.47
1487,178842.95
1488,182321.47
1489,179986.73
1490,181804.58
1491,182330.1
1492,178223.5
1493,174491.3
1494,180035.39
1495,182650.72
1496,181315.42
1497,179045.7
1498,177344.2
1499,177017.92
1500,178827.25
1501,181916.16
1502,179975.95
1503,180420.89
1504,181716.42
1505,181572.86
1506,181119.84
1507,183877.14
1508,180637.98
1509,181492.97
1510,180743.6
1511,179763.5
1512,180027.86
1513,179682.58
1514,180141.14
1515,183790.33
1516,180776.53
1517,181761.33
1518,181795.27
1519,181269.61
1520,180902.33
1521,182161.61
1522,182060.11
1523,181247.8
1524,179366.67
1525,181163.2
1526,181867.62
1527,181182.89
1528,179934.17
1529,180711.27
1530,180817.27
1531,180913.48
1532,179100.03
1533,178239.2
1534,180634.39
1535,183935.7
1536,180711.2
1537,177299.34
1538,179390.12
1539,178909.58
1540,180934.3
1541,182532.34
1542,179734.39
1543,182574.95
1544,177085.73
1545,179459.7
1546,180245.11
1547,178861.5
1548,180004.95
1549,180427.64
1550,179629.27
1551,179845.95
1552,181000.36
1553,182364.67
1554,179829.94
1555,182741.4
1556,171438.11
1557,175534.23
1558,177917.45
1559,174753.86
1560,177380.77
1561,179019.08
1562,180852.86
1563,181542.0
1564,181909.3
1565,180741.42
1566,182217.16
1567,179891.08
1568,181315.61
1569,181147.12
1570,182325.48
1571,183668.86
1572,181710.42
1573,180789.17
1574,177962.58
1575,177011.86
1576,179200.52
1577,181331.61
1578,180816.11
1579,179405.6
1580,183383.83
1581,179603.8
1582,181235.83
1583,182906.42
1584,183475.7
1585,182191.73
1586,176428.45
1587,177030.33
1588,180999.11
1589,178953.42
1590,181407.08
1591,178574.14
1592,179413.98
1593,179231.92
1594,168917.62
1595,180280.14
1596,183708.64
1597,184769.36
1598,181623.67
1599,178064.55
1600,177006.72
1601,177767.83
1602,178845.22
1603,173022.44
1604,177495.44
1605,183206.66
1606,178684.25
1607,177957.2
1608,181059.34
1609,180549.06
1610,181597.92
1611,182988.56
1612,181655.52
1613,182995.89
1614,176537.08
1615,178072.17
1616,179155.1
1617,179692.53
1618,180385.2
1619,179876.56
1620,177138.45
1621,181127.72
1622,179928.52
1623,178502.36
1624,180337.03
1625,182048.98
1626,181896.83
1627,183393.14
1628,183871.67
1629,180828.12
1630,184636.11
1631,180631.55
1632,181583.2
1633,180872.53
1634,183024.67
1635,182370.34
